xops tickets since 2023-06-08
label,total_tickets
xops_ch_change_name,18
xops_enable_remittances,5
xops_remove_profile,5
xops_packet_update,3
xops_company_employee_id_counter,2
xops_new_packet,1
xops_ch_sms_whatsapp,1
xops_ch_message_troubleshoot,1
xops_ch_portal,1
xops_carholder_assorted,1
xops_training_tracks,1
xops_paystubs,1
xops_raffle,0
xops_reports,0
xops_remove_incomplete_packetsxops_new_packet,0
